,lead_time,avg_price_per_room,Y_pred,Y_test
32265,279,110.0,1,1
21703,57,79.2,0,0
18393,245,75.0,1,1
16843,3,114.67,0,0
26689,21,67.0,0,0
400,221,80.0,1,1
11336,16,173.67,0,0
30480,346,115.0,1,1
35021,42,69.22,0,0
17801,1,80.0,0,0
21844,104,77.03,0,0
32746,249,96.3,1,1
16473,0,130.0,0,0
27990,192,95.0,1,0
1359,41,81.77,0,0
5373,28,104.0,0,0
12389,9,178.0,0,0
14229,88,150.45,0,0
8848,53,120.0,0,0
4182,1,107.0,0,0
33954,6,183.1,0,0
14933,90,105.3,0,0
8639,168,90.95,1,1
3055,114,99.9,0,1
36076,59,137.7,0,1
25741,5,80.0,0,0
33528,4,160.0,0,0
20726,154,112.5,1,1
15642,8,119.0,0,0
33491,103,115.0,0,1
14343,47,69.53,0,0
25841,151,105.3,0,1
14995,5,105.0,0,0
14354,3,92.7,0,0
27214,0,84.0,0,0
25018,67,82.45,0,0
19800,148,115.6,1,0
25753,188,130.0,1,1
11083,21,187.0,0,0
29986,20,133.11,0,0
36107,7,87.0,0,0
4146,5,91.0,0,0
211,32,105.0,0,0
6963,4,61.5,0,0
20150,29,104.0,0,0
20021,49,121.5,0,0
3270,15,164.0,0,0
15115,92,125.1,0,0
16029,17,107.5,0,0
31144,89,85.0,0,0
14582,13,129.0,0,1
18571,103,159.84,0,0
27091,269,70.0,1,0
17548,8,130.0,0,0
16105,49,76.5,0,1
13317,107,152.1,0,1
27073,6,81.0,0,0
18120,176,96.3,1,1
23233,327,88.0,1,0
21199,65,89.25,0,0
11479,1,66.7,0,0
35809,22,155.77,0,0
25654,2,134.0,0,0
25650,68,58.0,0,0
13863,245,110.0,1,1
25571,163,115.0,1,1
21688,57,95.3,0,0
10641,140,195.3,0,0
24175,320,115.0,1,1
32422,18,72.9,0,0
35328,78,99.15,0,0
4433,80,126.9,0,0
16403,108,87.3,0,1
13271,5,167.0,0,1
13139,183,110.0,1,1
1419,3,72.07,0,0
11340,75,65.0,0,0
24893,121,90.0,0,1
31773,10,137.7,0,0
13102,51,64.45,0,0
16780,41,99.9,0,0
27901,271,85.67,1,0
20439,1,0.0,0,0
15710,2,89.0,0,0
36243,164,94.5,1,0
28093,36,112.0,0,0
11366,7,169.17,0,1
1169,20,68.85,0,0
24827,10,87.0,0,0
966,69,114.9,0,0
9897,3,109.0,0,0
21710,210,88.7,1,1
1213,216,96.3,1,1
7508,133,137.7,0,0
9394,315,160.0,1,1
35986,256,115.0,1,1
20164,1,202.0,0,0
34931,112,100.0,0,0
14853,0,158.0,0,0
32623,57,132.6,0,0
36129,141,119.85,0,0
8009,245,75.0,1,1
24145,74,80.0,0,0
15416,93,89.25,0,0
5678,61,139.34,0,1
32945,3,0.0,0,0
8722,173,104.4,1,1
21057,50,241.59,0,1
17226,73,149.4,0,1
844,111,168.3,0,0
30965,1,101.0,0,0
31747,1,89.0,0,0
24211,277,89.14,1,0
36240,32,85.5,0,0
1884,11,99.0,0,0
30789,44,119.38,0,0
29875,207,108.9,1,1
15735,184,69.9,1,1
11013,65,96.3,0,0
24409,7,79.0,0,1
26549,25,62.64,0,0
2432,15,80.0,0,0
4027,114,115.6,0,0
8641,215,99.45,1,0
13576,4,106.0,0,0
28527,130,102.58,0,0
21982,20,67.5,0,0
19695,70,128.7,0,0
24099,418,75.0,1,1
25719,0,79.0,0,1
23365,37,105.0,0,0
28308,69,105.3,0,1
10842,15,89.0,0,1
35950,174,85.5,1,1
10794,28,85.0,0,0
18802,65,105.3,0,0
19991,69,120.0,0,1
7343,3,79.0,0,0
30619,57,130.5,0,0
29743,4,125.0,0,0
19281,153,143.1,1,1
24239,188,130.0,1,1
19939,82,146.7,0,0
36113,154,120.7,1,1
27228,37,95.0,0,0
5327,48,93.6,0,0
23109,39,109.49,0,0
15677,18,80.85,0,0
30214,11,150.0,0,1
34976,21,91.0,0,1
33276,113,96.3,0,0
10172,98,111.69,0,0
27283,64,153.0,0,1
10489,25,152.0,0,1
21117,82,121.5,0,0
20661,79,146.7,0,1
3669,59,118.27,0,0
11724,9,78.0,0,0
1808,346,115.0,1,1
35207,202,90.95,1,0
10502,22,130.9,0,0
4338,146,95.0,0,1
26289,286,117.0,1,1
17449,13,92.0,0,1
25026,135,79.2,0,1
28228,60,126.0,0,0
14748,4,107.0,0,0
12260,17,85.0,0,0
7884,141,90.95,0,0
17218,41,65.0,0,0
4709,9,65.0,0,0
20514,192,95.0,1,0
24609,112,99.45,0,1
24960,192,110.0,1,1
20531,52,192.59,0,0
3302,0,95.0,0,0
15961,63,118.33,0,0
22448,64,149.0,0,0
8355,92,177.3,0,1
11302,226,70.0,1,0
13448,127,91.48,0,0
28274,12,117.0,0,0
23322,170,130.05,1,1
11588,217,76.5,1,0
11785,120,87.13,0,1
5954,377,115.0,1,1
15817,35,79.2,0,1
9981,110,121.05,0,0
21817,3,145.0,0,0
32219,107,108.0,0,0
901,124,143.1,0,1
10625,15,140.0,0,0
36156,101,80.0,0,1
32616,122,85.0,0,0
22804,74,89.25,0,0
6051,15,81.0,0,0
30713,29,85.0,0,0
13469,60,0.0,0,0
19457,97,150.3,0,0
9504,71,73.95,0,1
1894,11,90.0,0,0
28223,101,90.0,0,0
290,80,80.33,0,0
28003,36,152.1,0,0
14680,58,128.1,0,1
21935,68,96.6,0,0
27390,105,110.0,0,1
5953,31,75.0,0,1
28083,83,83.59,0,0
13585,71,74.8,0,0
34872,34,152.1,0,0
17138,2,85.0,0,0
18812,13,127.0,0,1
11024,50,99.0,0,1
21163,21,85.0,0,0
30613,1,65.0,0,0
27971,31,103.05,0,0
8991,103,115.0,0,1
20366,0,119.33,0,0
17052,13,173.0,0,0
25085,39,51.28,0,1
33168,17,97.5,0,1
28054,56,120.0,0,0
22760,100,119.85,0,1
1505,29,103.55,0,0
22139,33,85.5,0,0
27930,74,68.5,0,0
20258,90,74.95,0,0
7748,220,73.95,1,0
1521,2,77.25,0,0
28859,30,140.4,0,0
9061,98,109.65,0,1
24325,157,123.3,1,1
28914,1,106.0,0,0
19828,36,108.9,0,0
9507,81,76.5,0,1
20636,68,149.4,0,0
20603,18,139.0,0,1
13766,40,159.3,0,0
2068,164,99.45,1,1
26681,146,103.5,0,0
10973,112,52.85,0,0
18918,12,72.0,0,0
8455,175,126.9,1,1
34288,48,127.8,0,0
6249,85,131.4,0,0
31562,111,118.8,0,1
31796,96,94.5,0,1
13915,95,140.4,0,0
8357,92,90.0,0,0
13513,30,78.6,0,0
16579,322,80.0,1,1
18274,10,130.33,0,1
24279,34,99.45,0,0
3219,192,95.0,1,0
30134,75,150.45,0,0
15590,1,60.0,0,1
29913,64,63.75,0,1
6322,163,123.3,1,1
12402,86,99.0,0,0
6519,32,73.0,0,0
34905,11,0.0,0,0
35903,3,107.0,0,0
19139,61,90.0,0,0
15666,75,88.4,0,0
25290,4,97.0,0,0
491,37,105.0,0,0
6582,40,70.0,0,0
9423,11,75.0,0,1
20706,208,80.75,1,1
20287,166,110.0,1,1
16064,5,0.0,0,0
27161,42,106.2,0,1
10777,37,126.9,0,1
26908,261,161.25,1,1
24004,163,100.0,1,1
28877,249,53.45,1,0
10069,2,175.56,0,0
9415,39,121.8,0,1
17033,102,109.0,0,0
1538,81,90.9,0,1
5542,3,65.0,0,0
32495,65,119.0,0,0
22373,34,71.52,0,0
24305,20,109.0,0,0
21394,9,84.0,0,0
35959,276,61.0,1,1
17,1,96.0,0,0
3365,273,109.0,1,1
9976,32,74.8,0,1
28201,52,75.0,0,0
7081,30,97.71,0,0
10110,135,155.7,0,0
1406,87,75.0,0,0
8937,39,60.97,0,0
4628,28,194.8,0,0
6179,6,130.0,0,0
27244,15,89.0,0,0
29792,2,149.0,0,0
360,86,90.95,0,0
10313,229,177.3,1,1
25147,56,185.0,0,0
24212,7,95.0,0,0
4177,109,72.25,0,0
19365,113,76.5,0,1
10388,135,72.42,0,0
8723,5,100.0,0,0
13982,53,85.0,0,0
2073,72,95.4,0,1
5828,109,90.95,0,0
33546,60,132.45,0,1
1508,87,181.16,0,0
20013,6,136.0,0,0
7351,44,124.46,0,0
30764,226,70.0,1,0
26679,38,118.58,0,1
24104,204,100.0,1,1
3268,19,80.0,0,0
21091,14,200.0,0,0
3544,102,101.5,0,1
34778,10,99.0,0,0
9571,217,101.15,1,1
6368,0,106.25,0,0
13975,151,71.0,0,0
9186,85,82.45,0,0
26427,22,62.0,0,0
16049,118,110.0,0,0
12963,217,80.75,1,0
23497,188,89.25,1,0
4558,68,48.0,0,0
24719,142,85.0,0,1
15333,21,139.0,0,0
22035,87,80.75,0,0
7507,4,57.75,0,0
18099,140,99.45,0,0
35452,276,95.67,1,0
16365,86,105.0,0,0
11091,22,196.0,0,0
2065,32,97.92,0,0
8657,5,136.0,0,0
29451,63,80.5,0,0
26216,17,95.0,0,0
23817,179,107.1,1,1
1064,16,77.53,0,0
32307,38,60.0,0,0
29170,1,60.0,0,1
27653,85,119.7,0,1
25687,19,135.0,0,0
8910,108,199.8,0,1
19363,84,121.5,0,0
131,25,129.0,0,0
27721,78,48.33,0,0
2402,273,95.0,1,1
20878,150,96.9,0,0
18744,155,83.12,0,0
18436,1,60.0,0,1
3546,250,95.0,1,1
31095,61,73.0,0,0
36073,105,75.0,0,1
5897,15,177.0,0,1
18940,14,118.0,0,0
10690,8,79.0,0,0
62,192,95.0,1,0
32440,1,101.5,0,0
24251,93,121.5,0,0
21019,3,72.5,0,0
3598,68,112.2,0,0
18590,70,109.8,0,0
35764,2,89.0,0,0
32656,164,100.0,1,0
33261,3,85.03,0,0
12348,213,130.0,1,1
23715,13,169.0,0,1
16518,150,121.83,1,0
1879,117,48.6,0,1
5301,37,149.4,0,0
36154,110,105.3,0,1
35099,59,122.83,0,1
8798,86,100.0,0,0
10562,166,110.0,1,1
5548,21,129.0,0,0
35384,28,166.0,0,1
25216,45,109.49,0,1
19003,11,88.5,0,0
2624,102,109.0,0,0
14103,168,82.28,1,1
9019,4,112.0,0,0
28199,120,143.1,0,1
14615,14,142.0,0,1
30991,89,168.3,0,0
30376,26,104.0,0,0
17415,166,130.0,1,1
9660,12,67.0,0,0
15261,90,129.9,0,0
22381,180,70.0,1,1
4123,116,76.0,0,0
3008,149,124.2,1,0
6664,36,112.0,0,0
7045,204,80.75,1,0
20983,55,67.0,0,0
2711,150,126.9,1,0
15518,163,126.9,1,1
35883,23,129.0,0,0
15871,15,81.0,0,0
33212,51,85.5,0,0
10758,221,65.0,1,0
33033,74,109.0,0,0
28807,62,140.0,0,0
295,166,110.0,1,1
27700,180,120.0,1,1
17639,0,0.0,0,0
22974,188,130.0,1,1
14503,134,109.8,0,0
1180,10,107.0,0,0
2493,0,81.0,0,0
26118,19,96.0,0,0
14000,95,59.5,0,0
31816,0,180.0,0,0
17172,27,145.28,0,0
1614,57,45.9,0,0
28521,117,150.45,0,0
9997,105,75.0,0,0
34547,75,80.75,0,0
10224,11,96.0,0,0
25046,187,105.3,1,1
10658,85,98.0,0,0
33825,11,129.0,0,0
3409,1,78.0,0,0
18310,46,99.0,0,0
24334,28,130.0,0,0
27927,180,0.0,0,0
10134,21,95.0,0,0
24782,100,136.0,0,1
5667,135,130.5,0,0
740,11,62.0,0,0
27837,39,101.5,0,0
35978,61,72.24,0,0
13833,183,123.3,1,1
28341,25,72.25,0,0
31326,179,108.9,1,1
10008,76,75.0,0,0
14128,53,93.6,0,1
19326,252,53.47,1,0
32208,180,80.75,1,0
31392,230,137.0,1,1
10937,199,74.8,1,1
6474,76,80.75,0,1
12001,169,63.5,0,0
27126,86,65.0,0,0
3403,135,151.2,0,0
14666,8,149.0,0,0
5792,230,96.3,1,0
25374,130,76.5,0,1
23720,433,70.0,1,1
28824,174,130.0,1,1
4088,44,75.0,0,0
30792,181,78.48,1,1
1905,176,90.95,1,1
20710,72,168.3,0,0
12209,10,182.0,0,1
34646,36,87.89,0,0
29921,150,71.6,0,0
927,87,112.25,0,0
23210,50,126.0,0,0
29380,162,112.0,1,1
5101,24,87.3,0,0
22359,8,99.0,0,0
1930,44,85.0,0,0
24874,104,76.5,0,1
10728,215,115.6,1,1
33596,89,63.58,0,0
8231,304,89.0,1,1
25791,219,76.67,1,0
6547,14,67.76,0,0
7782,10,120.0,0,1
21348,308,52.0,1,1
26337,205,85.5,1,1
7607,32,155.8,0,0
18221,4,80.0,0,1
10806,2,81.75,0,0
33448,188,130.0,1,1
9379,1,76.25,0,0
9516,12,58.0,0,0
14346,33,111.6,0,0
8265,113,105.3,0,1
3020,200,90.0,1,0
25389,105,75.0,0,1
31867,188,130.0,1,1
12258,59,126.0,0,1
15201,3,65.0,0,0
8090,8,56.0,0,0
26374,11,95.0,0,1
8515,138,121.5,0,0
6551,112,76.97,0,0
4467,145,76.5,0,1
23288,77,68.85,0,0
1686,213,130.0,1,1
9113,2,65.0,0,0
33512,28,159.0,0,0
30498,36,109.0,0,0
30772,25,126.48,0,0
27025,192,140.4,1,1
7353,166,110.0,1,1
28007,305,89.0,1,1
16824,141,128.8,0,0
5417,44,75.0,0,0
8309,0,50.0,0,0
29398,23,75.0,0,0
13099,28,149.15,0,1
29385,27,124.0,0,0
20473,219,76.67,1,0
29891,1,176.0,0,0
35106,19,90.0,0,0
29649,92,102.68,0,0
28716,39,126.0,0,1
25668,10,124.33,0,0
33655,34,224.67,0,1
12629,23,72.8,0,1
13090,20,121.25,0,0
23719,31,66.71,0,0
24924,114,75.0,0,1
20490,122,80.75,0,0
21096,27,108.0,0,0
31469,13,221.0,0,1
4803,47,93.5,0,0
29253,69,106.0,0,0
35716,0,65.0,0,0
22362,5,146.0,0,1
19530,298,75.0,1,1
6160,304,89.0,1,1
18616,10,110.0,0,0
22275,43,94.8,0,0
2367,47,116.1,0,0
5907,3,128.0,0,0
3695,225,67.5,1,1
17948,71,91.47,0,0
24945,0,68.85,0,0
22798,166,110.0,1,1
31004,49,126.0,0,0
17882,79,168.3,0,1
33637,127,152.4,0,0
29510,135,119.85,0,0
11268,23,60.0,0,0
16464,304,89.0,1,1
13736,64,105.3,0,0
4276,12,129.8,0,0
8949,8,120.0,0,0
18342,290,73.95,1,1
19955,80,136.0,0,0
17185,116,70.0,0,1
4915,36,150.3,0,1
25856,220,115.6,1,1
28796,166,90.95,1,0
3815,40,128.1,0,1
5142,4,104.0,0,0
34550,186,112.0,1,1
3397,1,80.0,0,0
12487,104,102.3,0,0
13661,221,65.0,1,0
30225,257,101.5,1,1
7133,64,136.8,0,1
10084,22,97.0,0,1
26493,163,110.0,1,1
1129,17,90.34,0,0
28068,11,62.91,0,0
13059,17,110.0,0,0
6929,17,75.66,0,0
22723,41,60.0,0,0
34185,2,100.0,0,0
8963,32,130.0,0,1
28927,63,112.2,0,1
2687,23,94.0,0,0
7216,8,127.0,0,0
25309,213,130.0,1,1
33498,0,109.0,0,0
1199,11,127.0,0,0
18210,127,80.0,0,0
6047,191,95.0,1,0
4691,38,0.0,0,0
31230,37,105.0,0,0
26488,70,100.0,0,0
21540,31,119.1,0,1
7414,9,90.0,0,0
29244,258,90.1,1,1
19158,4,75.0,0,0
30561,177,105.3,1,1
35781,190,90.9,1,1
9554,3,141.0,0,0
22936,46,123.3,0,1
36005,89,168.3,0,0
23562,21,86.0,0,0
14064,65,137.7,0,0
35144,37,78.5,0,0
15136,99,107.95,0,0
8134,174,90.95,1,0
8514,256,103.7,1,1
493,14,70.88,0,0
10599,259,73.95,1,0
30023,146,132.3,1,1
20588,207,99.45,1,1
17153,216,75.0,1,0
15154,256,72.25,1,0
5543,85,75.0,0,0
25997,39,109.0,0,0
27267,53,88.4,0,0
24595,61,72.24,0,0
21372,6,80.0,0,0
688,58,79.2,0,1
2164,16,107.0,0,0
31452,144,126.9,0,0
16204,14,70.0,0,0
3710,0,50.0,0,0
11154,8,65.0,0,0
29926,265,115.0,1,1
18933,18,82.39,0,0
7308,143,94.5,0,0
16942,69,92.43,0,0
1256,23,129.0,0,0
21984,47,99.9,0,1
15536,99,140.4,0,0
35369,418,107.0,1,1
18024,89,116.1,0,0
33062,49,86.28,0,1
1503,52,85.5,0,0
17082,128,43.43,0,0
11773,322,52.0,1,0
20029,270,62.8,1,1
16581,22,129.0,0,1
13,95,90.0,0,1
34804,125,113.41,0,1
29369,5,64.64,0,0
4787,103,80.0,0,0
5018,12,109.33,0,1
36267,49,93.15,0,1
27452,314,75.0,1,1
13714,122,94.35,0,0
10023,86,56.93,0,0
7490,55,94.5,0,0
23732,9,88.0,0,0
18316,141,116.11,0,1
12309,6,89.0,0,0
27226,65,146.1,0,0
1748,217,80.75,1,0
15489,178,96.3,1,1
18327,148,90.9,0,1
30684,11,88.5,0,0
28128,5,0.0,0,0
23538,67,119.16,0,1
13038,42,76.05,0,0
24706,85,85.0,0,0
18699,35,99.0,0,0
31325,96,135.9,0,1
6566,4,110.0,0,0
11409,135,107.95,0,1
11628,131,129.6,0,1
19907,41,76.9,0,0
8821,90,99.45,0,1
8898,0,67.0,0,0
25936,61,134.53,0,1
27997,62,111.88,0,0
8137,38,99.0,0,0
4384,99,76.5,0,1
26222,184,90.9,1,0
12982,1,86.0,0,0
17398,8,89.0,0,0
21989,292,115.0,1,1
19565,0,89.0,0,0
26747,14,85.0,0,1
28109,178,94.62,1,1
9672,3,67.5,0,0
27615,95,103.29,0,1
5092,92,65.0,0,0
21047,82,134.1,0,1
11469,44,75.0,0,0
34743,88,116.1,0,1
29744,63,116.0,0,0
13434,70,93.6,0,1
1792,8,65.0,0,0
18329,204,72.75,1,0
1140,32,73.0,0,0
31102,50,74.8,0,0
8610,199,105.3,1,1
22120,201,82.28,1,0
26637,101,186.3,0,1
19516,2,91.0,0,0
3340,205,90.95,1,1
8574,12,154.0,0,1
11444,183,110.0,1,1
10357,245,75.0,1,1
27010,234,106.0,1,1
7882,104,65.0,0,0
23372,32,107.1,0,1
4811,239,96.3,1,1
15754,51,90.0,0,1
27484,13,96.0,0,0
24419,44,75.0,0,0
24773,286,91.0,1,0
32783,210,72.75,1,0
9058,17,113.33,0,0
19179,182,120.0,1,1
26078,109,129.59,0,0
455,230,137.0,1,1
31504,2,94.0,0,0
6113,10,166.0,0,0
12942,21,85.0,0,0
30919,16,97.5,0,0
18071,88,90.0,0,0
3966,28,67.0,0,0
11393,4,95.0,0,0
17241,67,76.5,0,1
24084,95,151.2,0,0
25110,86,114.3,0,0
32239,28,126.0,0,1
6937,43,75.0,0,0
14472,171,80.75,1,1
29101,107,130.0,0,0
2080,12,80.85,0,0
3106,54,80.3,0,0
35380,213,130.0,1,1
21503,188,86.75,1,1
1056,18,85.0,0,0
12803,211,72.76,1,1
34998,163,115.0,1,1
21216,81,111.78,0,0
14380,18,137.57,0,0
34367,180,51.28,0,0
15054,159,119.85,1,1
18753,35,97.4,0,0
9783,45,93.6,0,0
2712,42,72.0,0,0
32148,2,77.5,0,0
21362,217,90.1,1,1
13773,346,72.25,1,1
27659,27,128.2,0,0
24777,18,135.0,0,1
6813,20,108.99,0,0
11744,14,169.0,0,1
26257,73,100.0,0,1
23283,20,134.1,0,0
28935,31,112.14,0,0
11910,21,67.0,0,1
19414,69,149.4,0,1
938,102,80.0,0,1
20679,15,87.0,0,0
24661,185,124.46,1,1
8016,1,130.0,0,0
